Date | Temperature | Humidity | Light | Bus Voltage | Shunt Voltage | Bus Current | Bus Power
2023/01/29 23:15:10 | 3.1450 (0) | 26.2833 dC | 56.3880 rH | 27.5000 lx | 14.5120 V | 1.5600 mV | 15.5940 mA | 226.5960 mW
2023/01/29 23:15:11 | 3.1450 (0) | 26.2869 dC | 56.4026 rH | 27.5000 lx | 14.5120 V | 1.5600 mV | 15.5940 mA | 226.5960 mW
2023/01/29 23:15:13 | 3.1450 (0) | 26.2480 dC | 56.4005 rH | 27.5000 lx | 14.5120 V | 1.5600 mV | 15.5940 mA | 226.5960 mW
2023/01/29 23:15:14 | 3.1450 (0) | 26.2480 dC | 56.4005 rH | 27.5000 lx | 14.5120 V | 1.5600 mV | 15.5940 mA | 226.5960 mW
2023/01/29 23:15:15 | 3.1450 (0) | 26.2453 dC | 56.4296 rH | 26.6667 lx | 14.5120 V | 1.5620 mV | 15.6250 mA | 226.5960 mW
2023/01/29 23:15:16 | 3.1450 (0) | 26.2423 dC | 56.4388 rH | 27.5000 lx | 14.5120 V | 1.5620 mV | 15.6250 mA | 226.5960 mW
2023/01/29 23:15:17 | 3.1450 (0) | 26.2102 dC | 56.4025 rH | 27.5000 lx | 14.5110 V | 1.5620 mV | 15.6250 mA | 226.5960 mW
2023/01/29 23:15:18 | 3.1450 (0) | 26.2121 dC | 56.4399 rH | 27.5000 lx | 14.5110 V | 1.5620 mV | 15.6250 mA | 226.5960 mW
2023/01/29 23:15:19 | 3.1450 (0) | 26.2062 dC | 56.4343 rH | 27.5000 lx | 14.5110 V | 1.5620 mV | 15.6250 mA | 226.5960 mW
2023/01/29 23:15:21 | 3.1450 (0) | 26.2014 dC | 56.4471 rH | 29.1667 lx | 14.5110 V | 1.5620 mV | 15.6250 mA | 226.5960 mW
2023/01/29 23:15:22 | 3.1450 (0) | 26.1774 dC | 56.4115 rH | 28.3333 lx | 14.5110 V | 1.5620 mV | 15.6250 mA | 226.5960 mW
2023/01/29 23:15:23 | 3.1450 (0) | 26.1887 dC | 56.4545 rH | 28.3333 lx | 14.5110 V | 1.5620 mV | 15.6250 mA | 226.5960 mW
2023/01/29 23:15:24 | 3.1450 (0) | 26.1837 dC | 56.4564 rH | 22.5000 lx | 14.5110 V | 1.5620 mV | 15.6250 mA | 226.5960 mW
2023/01/29 23:15:25 | 3.1450 (0) | 26.1696 dC | 56.4381 rH | 20.0000 lx | 14.5110 V | 1.5650 mV | 15.6550 mA | 227.3590 mW
2023/01/29 23:15:26 | 3.1450 (0) | 26.1509 dC | 56.4556 rH | 19.1667 lx | 14.5110 V | 1.5650 mV | 15.6550 mA | 227.3590 mW
2023/01/29 23:15:27 | 3.1450 (0) | 26.1509 dC | 56.4660 rH | 20.0000 lx | 14.5110 V | 1.5650 mV | 15.6550 mA | 227.3590 mW
2023/01/29 23:15:29 | 3.1450 (0) | 26.1505 dC | 56.4598 rH | 27.5000 lx | 2.3050 V | 0.2550 mV | 2.5630 mA | 32.0430 mW
2023/01/29 23:15:30 | 3.1450 (0) | 26.1477 dC | 56.4633 rH | 19.1667 lx | 2.3050 V | 0.2550 mV | 2.5630 mA | 32.0430 mW
